title,category_name,category_slug,price_uah,weight,pieces,description_items,url,image
Сакура хіяші із лососевою ікрою,Авторські роли,avtorski-roli,180,280 гр,,норі; рис; хіяші вакаме; огірок; сир; лососева ікра; мікрогрін.,https://sushilubin.com.ua/offer/sakura-hiasi-iz-lososevou-ikrou,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-roli%2F_.jpg?alt=media&token=819c0072-f793-49b8-8773-364d6a5f285f
Сет Айше,Авторські сети,avtorski-seti,599,650 гр,,Рол Бостон; Червоний дракон,https://sushilubin.com.ua/offer/set-ajse,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_.jpg?alt=media&token=c01db88c-91a9-4757-a806-ea4d1f707b50
Сет Яскравий мікс,Авторські сети,avtorski-seti,899,"1,5 кг",,Філадельфія вугор огірок; Каліфорнія креветка; Філадельфія грін; Сирний 2д; Сапі з лососем,https://sushilubin.com.ua/offer/set-askravij-miks,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_.png?alt=media&token=9016e8b6-3823-42ad-86a0-7d935e963ee4
Сет Буржуй,Авторські сети,avtorski-seti,1299,"1,850 кг",,Філадельфія масляна; Філадельфія тунець; Гейша; Філадельфія грін; Філадельфія креветка; Філадельфія чіз,https://sushilubin.com.ua/offer/set-burzuj,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_.jpg?alt=media&token=ab5a30ea-3e73-4086-95bc-7959bc01f393
Сет Дарик,Авторські сети,avtorski-seti,1199,"1,5 кг",,Каліфорнія огайо; Каліфорнія доре; Філадельфія креветка; Гейша; Філадельфія класична,https://sushilubin.com.ua/offer/set-darik,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_.jpg?alt=media&token=1bc5add1-ceda-425b-9bcb-e0e296ea5e93
Сет Елітний,Авторські сети,avtorski-seti,1100,"1,6 кг",,Філадельфія креветка; Філадельфія грін; Гейша; Філадельфія тунець; Філадельфія класична,https://sushilubin.com.ua/offer/set-elitnij,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_.jpg?alt=media&token=8e68bbf8-d202-41ba-8772-14b27ce030ad
Сет Kids,Авторські сети,avtorski-seti,300,600 гр,,Сирний три сира; Філадельфія грін печений лосось,https://sushilubin.com.ua/offer/set-kids,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_Kids.jpg?alt=media&token=21799067-2da4-4b68-bcd2-75f225f9d4a0
Сет Королівський,Авторські сети,avtorski-seti,1050,"1,5 кг",,Футомак бостон; Філадельфія вугор; Каліфорнія креветка; Філадельфія чіз; Тунець з чука салатом,https://sushilubin.com.ua/offer/set-korolivskij,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_.jpg?alt=media&token=4a56e01c-3b92-44ef-9f9d-a35fe4b2e8d7
Сет Крута ціна,Авторські сети,avtorski-seti,950,"1,450 кг",,Філадельфія манго; Сяке з чука салатом; Сяке з печеним лососем; Сапі з лососем; Сапі з тунцем,https://sushilubin.com.ua/offer/set-kruta-cina,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_.jpg?alt=media&token=d07eed10-32ec-4039-92d8-2ffb117075a3
Сет Лідер,Авторські сети,avtorski-seti,999,"1,2 кг",,Філадельфія креветка; Філадельфія вугор; Гейша; Філадельфія лососева ікра,https://sushilubin.com.ua/offer/set-lider,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_.jpg?alt=media&token=8036836b-92fb-4c2c-b3b1-1975f98b9579
Сет Ніжний,Авторські сети,avtorski-seti,899,"1,2 кг",,Каліфорнія краб; Бостон; Філадельфія масляна; Філадельфія класична,https://sushilubin.com.ua/offer/set-niznij,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_.png?alt=media&token=8cac4ba9-cd35-4179-bada-35d9185291a4
Сет Престиж,Авторські сети,avtorski-seti,1000,"1,5 кг",,Футомак з кальмаром; Філадельфія тунець; Філадельфія грін; Філадельфія креветка; Філадельфія вугор огірок,https://sushilubin.com.ua/offer/set-prestiz,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_.jpg?alt=media&token=16bf6dea-0dc8-416a-8045-46b55f324f10
Сет Рибний делюкс,Авторські сети,avtorski-seti,1000,"1,2 кг",,Філадельфія креветка; Філадельфія класична; Гейша; Філадельфія тунець,https://sushilubin.com.ua/offer/set-ribnij-deluks,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_.jpg?alt=media&token=52aea6a6-7445-4e3a-8dd0-d7210a45cbe4
Сет Рибний на двох,Авторські сети,avtorski-seti,699,"0,9 кг",,Філадельфія креветка; Філадельфія класична; Футомак бостон,https://sushilubin.com.ua/offer/set-ribnij-na-dvoh,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_.jpg?alt=media&token=1946dd60-b32d-431b-b091-1950914d5f56
Сет Рівень,Авторські сети,avtorski-seti,1250,"1,5 кг",,Каліфорнія огайо; Чорний дракон; Сирний з вугром; Філадельфія креветка; Футомак мікс без сиру,https://sushilubin.com.ua/offer/set-riven,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_.jpg?alt=media&token=96c4c709-1cbc-4d97-be72-fbb3a21aa838
Сет Статус,Авторські сети,avtorski-seti,1099,"1,5 кг",,Філадельфія вугор авокадо; Філадельфія лососева ікра; Сяке з печеним лососем; Каліфорнія огайо; Тунець з чука салатом,https://sushilubin.com.ua/offer/set-status,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_.png?alt=media&token=34e723ff-94cf-434b-9e43-14d5860992a7
Сет запечені роли №1,Авторські сети,avtorski-seti,599,780 гр,,Фуджі з тунцем; Запечений з вугром; Запечений з крабом,https://sushilubin.com.ua/offer/set-zapeceni-roli-1,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_1.jpg?alt=media&token=d49d73f4-88b6-4b02-a55c-bdccf468a920
Сет Запечені роли №2,Авторські сети,avtorski-seti,580,780 гр,,Запечений з вугром; Запечений Айсі креветка; Запечений спайсі мідія,https://sushilubin.com.ua/offer/set-zapeceni-roli-2,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_2.jpg?alt=media&token=6857a712-b037-4142-96b3-36b38e50c304
Торт Каприз,Авторські сети,avtorski-seti,950,"1,4 кг",,,https://sushilubin.com.ua/offer/tort-kapriz,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_.jpg?alt=media&token=b219cb81-ad14-4408-8492-6ebee13c646c
Торт Love You,Авторські сети,avtorski-seti,1050,"1,5 кг",,,https://sushilubin.com.ua/offer/tort-love-you,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-seti%2F_Love_You.jpg?alt=media&token=24db3454-f898-44ab-931d-3ee987dbe315
Бургер краб-креветка,Бургери,burgeri,290,330-350 гр,,авокадо; краб; креветка; сир хохланд; масаго; соус сирний.,https://sushilubin.com.ua/offer/burger-krabkrevetka,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fburgeri%2F_-_.jpg?alt=media&token=f9b622a4-9efc-4006-9ecf-7e8883cc3788
Бургер Лосось - вугор,Бургери,burgeri,315,330-350 гр,,вугор; лосось; кранч цибулевий; соус унагі; авокадо; масаго; сир крем.,https://sushilubin.com.ua/offer/burger-losos-vugor,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fburgeri%2F_-_.jpg?alt=media&token=81465ef5-f7cc-42ee-8bf6-e9c4a32fd95c
Бургер тунець-лосось,Бургери,burgeri,284,330-350 гр,,авокадо; тунець; лосось; соус шрірача; масаго; соус япі; айсберг.,https://sushilubin.com.ua/offer/burger-tuneclosos,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fburgeri%2F_-_.jpg?alt=media&token=6028b9d1-e90a-40d2-b7e4-82691a37ecc6
Бургер з куркою,Бургери,burgeri,199,330-350 гр,,курка; помідор; сир хохланд; соус япі; соус сирний; ікра масаго; айсберг.,https://sushilubin.com.ua/offer/burger-z-kurkou,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fburgeri%2F_.jpg?alt=media&token=06780925-d3bd-4693-b636-ca29be84a891
Чука салат,Чука салат,cuka-salat,99,100 гр,,,https://sushilubin.com.ua/offer/cuka-salat,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fcuka-salat%2F_.jpg?alt=media&token=df2a7a71-d16e-4080-8eb9-48c0659dc677
Чука салат під горіховим соусом,Чука салат,cuka-salat,150,100 гр,,,https://sushilubin.com.ua/offer/cuka-salat-pid-gorihovim-sousom,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fcuka-salat%2F_.jpg?alt=media&token=81e4f37a-a1f2-4d3a-9a70-511518cf3740
Чука салат з креветкою,Чука салат,cuka-salat,229,180 гр,,,https://sushilubin.com.ua/offer/cuka-salat-z-krevetkou,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fcuka-salat%2F_.jpg?alt=media&token=26014329-224a-4c74-af69-8dc2194ec3f7
Чука салат з восьменіжкою,Чука салат,cuka-salat,175,160 гр,,,https://sushilubin.com.ua/offer/cuka-salat-z-vosmenizkou,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fcuka-salat%2F_.jpg?alt=media&token=c56a39cd-e7b4-4752-962f-e8da55cafa1c
Дубайський шоколад,Десерти,deserti,160,110 гр,,,https://sushilubin.com.ua/offer/dubajskij-sokolad,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fdeserti%2F_.jpg?alt=media&token=3e9fbf92-7ce9-4619-91e6-f4c8e4855915
Макарунси,Десерти,deserti,85,,1,,https://sushilubin.com.ua/offer/makarunsi,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fdeserti%2F_.jpg?alt=media&token=8e9d93d5-b99b-4b53-afb6-9f9bb26c3cca
Моті,Десерти,deserti,70,,1,,https://sushilubin.com.ua/offer/moti,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fdeserti%2F_.jpg?alt=media&token=48422f00-8d59-458f-a773-2495df1eb88c
Бокс коробка,Додатки,dodatki,10,,1,,https://sushilubin.com.ua/offer/boks-korobka,https://www.facebook.com/tr?id=257589707174520&ev=PageView&noscript=1
Імбир,Додатки,dodatki,15,50 гр,,,https://sushilubin.com.ua/offer/imbir,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fdodatki%2F_.jpg?alt=media&token=e1244261-0a0a-47cb-ab8a-3c0a96b21398
Навчальний багаторазовий фіксатор,Додатки,dodatki,5,,1,,https://sushilubin.com.ua/offer/navcalnij-bagatorazovij-fiksator,https://www.facebook.com/tr?id=257589707174520&ev=PageView&noscript=1
Прибор,Додатки,dodatki,5,,1,,https://sushilubin.com.ua/offer/pribor,https://www.facebook.com/tr?id=257589707174520&ev=PageView&noscript=1
Соус горіховий,Додатки,dodatki,50,30 гр,,,https://sushilubin.com.ua/offer/sous-gorihovij,https://www.facebook.com/tr?id=257589707174520&ev=PageView&noscript=1
Соус соєвий бутилка,Додатки,dodatki,30,150 гр,,,https://sushilubin.com.ua/offer/sous-soevij-butilka,https://www.facebook.com/tr?id=257589707174520&ev=PageView&noscript=1
Соус унагі,Додатки,dodatki,40,30 гр,,,https://sushilubin.com.ua/offer/sous-unagi,https://www.facebook.com/tr?id=257589707174520&ev=PageView&noscript=1
Васабі,Додатки,dodatki,15,20 гр,,,https://sushilubin.com.ua/offer/vasabi,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fdodatki%2F_.jpg?alt=media&token=57d24699-0a43-440a-8ece-8685d3c75962
Червоний дракон,Дракон,drakon,359,300-330 гр,,лосось слабосолений; креветка королівська; крем-сир; огірок; авокадо; норі; рис.,https://sushilubin.com.ua/offer/cervonij-drakon,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fdrakon%2F_.jpg?alt=media&token=4206cf48-290f-4652-b38a-11a91aced853
Чорний дракон,Дракон,drakon,399,300-330 гр,,вугор; лосось слабосолений; авокадо; огірок; крем-сир; соус унагі; кунжут; ікра масаго; норі; рис.,https://sushilubin.com.ua/offer/cornij-drakon,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fdrakon%2F_.jpg?alt=media&token=a55688b0-b257-4cfb-81fe-f98f928513cc
Зелений дракон,Дракон,drakon,299,300-330 гр,,вугор; авокадо; огірок; крем-сир; соус унагі; кунжут; ікра масаго; норі; рис.,https://sushilubin.com.ua/offer/zelenij-drakon,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fdrakon%2F_.jpg?alt=media&token=94f1c28a-2ec5-4ba5-a978-08bf3e34d91a
Золотий дракон,Дракон,drakon,399,360 гр,,лосось; рис; норі; креветка; айсберг; сирна пластина; мікрогрін.,https://sushilubin.com.ua/offer/zolotij-drakon,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Fdrakon%2F_.jpg?alt=media&token=9a3fe7df-32c2-423c-afe4-acdb10c7aa5d
Філадельфія авокадо,Філадельфія,filadelfia,250,300-330 гр,,лосось слабосолений; крем-сир; авокадо; мигдалеві пластівці; норі; рис.,https://sushilubin.com.ua/offer/filadelfia-avokado,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffiladelfia%2F_.jpg?alt=media&token=9a17096a-8dc4-4273-933d-33b69e9c402f
Філадельфія Black Rice,Філадельфія,filadelfia,280,300-330 гр,,лосось слабосолений; крем-сир; авокадо; норі; рис чорний.,https://sushilubin.com.ua/offer/filadelfia-black-rice,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffiladelfia%2F_Black_Rice.jpg?alt=media&token=a9ace480-d3e4-469a-a972-d3f2ed4aa960
Філадельфія чіз,Філадельфія,filadelfia,225,300-330 гр,,лосось слабосолений; сир моцарела; крем-сир; пластина хохланд сир; норі; рис.,https://sushilubin.com.ua/offer/filadelfia-ciz,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffiladelfia%2F_.jpg?alt=media&token=7c358bd5-0831-44b5-879e-1bdfd9ec4415
Філадельфія грін печений лосось,Філадельфія,filadelfia,159,280-300 гр,,печений лосось; крем-сир; огірок; лососева ікра; норі; рис.,https://sushilubin.com.ua/offer/filadelfia-grin-pecenij-losos,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffiladelfia%2F_.jpg?alt=media&token=3b75af4e-9a80-47a0-8e7b-f68eae24d124
Філадельфія хіяші (під горіх.соусом),Філадельфія,filadelfia,279,300-330 гр,,салат вакаме хіяші; кунжут; лосось; горіховий соус; огірок; норі; рис.,https://sushilubin.com.ua/offer/filadelfia-hiasi-pid-gorihsousom,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffiladelfia%2F_._.jpg?alt=media&token=9d0472f8-b19e-4f85-8a7c-a289fa55dee7
Філадельфія класична,Філадельфія,filadelfia,235,300-330 гр,,лосось слабосолений; крем-сир; огірок; норі; рис.,https://sushilubin.com.ua/offer/filadelfia-klasicna,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffiladelfia%2F_.jpg?alt=media&token=d0ad8b01-80f2-40da-a30e-43073d4d5218
Філадельфія креветка,Філадельфія,filadelfia,279,300-330 гр,,лосось слабосолений; креветка королівська; крем-сир; огірок; норі; рис.,https://sushilubin.com.ua/offer/filadelfia-krevetka,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffiladelfia%2F_.jpg?alt=media&token=a85be813-8ee7-4b54-bb22-62b3e07421be
Філадельфія лососева ікра,Філадельфія,filadelfia,299,300-330 гр,,лосось слабосолений; ікра лосося; крем-сир; огірок; норі; рис.,https://sushilubin.com.ua/offer/filadelfia-lososeva-ikra,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffiladelfia%2F_.jpg?alt=media&token=8698f112-c649-4e38-ae03-2eb9079880f3
Філадельфія манго,Філадельфія,filadelfia,255,300-330 гр,,лосось слабосолений; манго; крем-сир; норі; рис.,https://sushilubin.com.ua/offer/filadelfia-mango,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffiladelfia%2F_.jpg?alt=media&token=70ed73b0-3ae0-4fb1-b1c8-34ef594d8472
Філадельфія масляна,Філадельфія,filadelfia,235,300-330 гр,,масляна рибка; крем-рис; огірок; лососева ікра; норі; рис.,https://sushilubin.com.ua/offer/filadelfia-maslana,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffiladelfia%2F_.jpg?alt=media&token=930f4bba-7bbe-445a-b996-5c4f74716a01
Філадельфія тунець,Філадельфія,filadelfia,205,280-300 гр,,тунець; крем-сир; авокадо; лососева ікра; рис; норі.,https://sushilubin.com.ua/offer/filadelfia-tunec,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffiladelfia%2F_.jpg?alt=media&token=defb9255-50ba-484f-bdf6-c0fbc91e38aa
Філадельфія вугор авокадо,Філадельфія,filadelfia,305,300-330 гр,,вугор смажений; крем-сир; авокадо; унагі соус; кунжут; норі; рис.,https://sushilubin.com.ua/offer/filadelfia-vugor-avokado,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffiladelfia%2F_.jpg?alt=media&token=323155c1-b772-4bce-9fdb-d917a65879d6
Філадельфія вугор огірок,Філадельфія,filadelfia,245,300-330 гр,,вугор смажений; крем-сир; огірок; унагі соус; кунжут; норі; рис.,https://sushilubin.com.ua/offer/filadelfia-vugor-ogirok,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffiladelfia%2F_.jpg?alt=media&token=5ed849bb-4f77-411e-b262-7ab70b5af4ca
Футомак Бостон (без сиру),Футомак,futomak,224,280-300 гр,,лосось; соус шрірача; огірок; салат вакаме; соус япі; масаго; норі; рис.,https://sushilubin.com.ua/offer/futomak-boston-bez-siru,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffutomak%2F_.jpg?alt=media&token=9df7684d-a4fc-474c-abfd-9ef52f3aa67a
Футомак фреш (без сиру),Футомак,futomak,180,260 гр,,лосось слабосолений; айсберг; авокадо; норі; рис.,https://sushilubin.com.ua/offer/futomak-fres-bez-siru,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffutomak%2F_.jpg?alt=media&token=65726938-c262-4603-9221-a9800d2aeab8
Футомак фреш Fish (без сиру),Футомак,futomak,190,260 гр,,креветка; лосось слабосолений; авокадо; огірок; норі; рис.,https://sushilubin.com.ua/offer/futomak-fres-fish-bez-siru,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffutomak%2F_Fish_.jpg?alt=media&token=88accb42-c85b-45d3-a1f3-569cf7028f89
Футомак Grandee,Футомак,futomak,224,300-330 гр,,лосось слабосолений; огірок; авокадо; омлет томаго; крем-сир; норі; рис.,https://sushilubin.com.ua/offer/futomak-grandee,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffutomak%2F_Grandee.jpg?alt=media&token=7ad5a090-5142-45e6-aff0-70c32e9ace4e
Футомак грецький,Футомак,futomak,175,280-300 гр,,салат; крем-сир; помідор; перець; огірок; фета; норі; рис.,https://sushilubin.com.ua/offer/futomak-greckij,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffutomak%2F_.jpg?alt=media&token=7cf4a6d9-cfb6-4a62-b58a-028d156d0b8b
Футомак королівський,Футомак,futomak,289,350 гр,,королівська креветка; лосось слабосолений; авокадо; огірок; крем-сир; норі; рис.,https://sushilubin.com.ua/offer/futomak-korolivskij,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffutomak%2F_.jpg?alt=media&token=e8572cce-7cbc-4229-8a69-f52b08ce1e54
Футомак краб,Футомак,futomak,199,300 гр,,рис; норі; краб; соус сирний; ікра масаго; огірок.,https://sushilubin.com.ua/offer/futomak-krab,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffutomak%2F_.jpg?alt=media&token=25a442d4-316c-4500-b3af-2ea47889496e
Футомак мікс (без сиру),Футомак,futomak,199,260 гр,,лосось слабосолений; тунець; огірок; айсберг; норі; рис.,https://sushilubin.com.ua/offer/futomak-miks-bez-siru,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffutomak%2F_.jpg?alt=media&token=5c4498cf-f0f9-44c6-9c53-12d06b9235ac
Футомак з хіяші (під горіх.соусом),Футомак,futomak,155,280-300 гр,,ікра масаго; салат вакаме; горіховий соус; огірок; кунжут; крем-сир; норі; рис.,https://sushilubin.com.ua/offer/futomak-z-hiasi-pid-gorihsousom,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffutomak%2F_._.jpg?alt=media&token=12c8fa12-b883-46f8-ae9a-e77c2161f063
Футомак з кальмаром,Футомак,futomak,185,270 гр,,норі; рис; кранч цибулевий; кальмар кільця; авокадо; огірок; сир.,https://sushilubin.com.ua/offer/futomak-z-kalmarom,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffutomak%2F_.jpg?alt=media&token=138e8ca5-b6ae-4727-91d9-322c0f9a99ae
Футомак з креветкою,Футомак,futomak,205,280-300 гр,,креветка; крем-сир; масаго; огірок; норі; сир.,https://sushilubin.com.ua/offer/futomak-z-krevetkou,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffutomak%2F_.jpg?alt=media&token=b2848c2c-817e-4a8f-8cd0-369208a20d7e
Футомак з лососем,Футомак,futomak,180,280-300 гр,,лосось слабосолений; огірок; крем-сир; норі; рис.,https://sushilubin.com.ua/offer/futomak-z-lososem,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Ffutomak%2F_.jpg?alt=media&token=9e0f964b-8045-4c3f-9d72-bbac7d15766d
Футомак з лососем (без сиру),Футомак,futomak,165,200 гр,,лосось; огірок; норі; рис.,https://sushilubin.com.ua/offer/futomak-z-lososem-bez-siru,https://www.facebook.com/tr?id=257589707174520&ev=PageView&noscript=1
